City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,bethanien,44,NA,1516867480,37,-26.5,17.16,78.91,4.18
1,rafai,0,CF,1516867480,58,4.95,23.92,81.2,5.97
2,aykhal,36,RU,1516867482,62,65.95,111.51,-14.07,2.73
3,avarua,75,CK,1516863600,78,-21.21,-159.78,78.8,10.29
4,upernavik,68,GL,1516866958,100,72.79,-56.15,0.61,8.66
5,yellowknife,5,CA,1516863600,75,62.45,-114.38,-18.41,3.36
6,ushuaia,75,AR,1516863600,75,-54.81,-68.31,46.4,9.17
7,nouadhibou,8,MR,1516863600,36,20.93,-17.03,62.6,14.99
8,nueva rosita,0,MX,1516867486,54,27.94,-101.22,30.62,3.18
9,batemans bay,44,AU,1516867185,92,-35.71,150.18,72.65,2.62
10,khatanga,88,RU,1516866973,74,71.98,102.47,-2.19,18.61
11,atuona,20,PF,1516866933,100,-9.8,-139.03,80.75,15.48
12,andijon,0,UZ,1516865400,49,40.76,72.37,46.4,2.24
13,qaanaaq,48,GL,1516866951,87,77.48,-69.36,-3.67,5.97
14,barrow,0,AR,1516867488,85,-38.31,-60.23,43.9,2.73
15,tigil,24,RU,1516867489,57,57.8,158.67,11.41,7.65
16,lulea,75,SE,1516866600,100,65.58,22.15,33.8,8.05
17,jamestown,0,AU,1516866907,55,-33.21,138.6,82.1,4.18
18,carutapera,92,BR,1516867491,97,-1.2,-46.02,76.84,5.19
19,busselton,0,AU,1516866892,87,-33.64,115.35,74.59,17.05
20,new norfolk,20,AU,1516863600,54,-42.78,147.06,78.8,11.41
21,sao filipe,0,CV,1516866901,98,14.9,-24.5,70.63,15.59
22,sioux lookout,90,CA,1516863600,85,50.1,-91.92,17.6,3.36
23,arlit,0,NE,1516867492,64,18.74,7.39,60.28,9.44
24,punta arenas,75,CL,1516863600,87,-53.16,-70.91,50.0,6.93
25,bredasdorp,0,ZA,1516863600,50,-34.53,20.04,75.2,8.05
26,banamba,0,ML,1516867494,31,13.55,-7.45,65.23,9.44
27,nelson bay,0,AU,1516863600,65,-32.72,152.14,82.4,10.29
28,businga,0,CD,1516867495,81,3.34,20.89,82.15,3.62
29,albany,40,US,1516863240,67,42.65,-73.75,17.6,8.05
30,east london,75,ZA,1516863600,78,-33.02,27.91,73.4,5.82
31,kapaa,90,US,1516863360,78,22.08,-159.32,73.4,13.87
32,mahebourg,75,MU,1516863600,83,-20.41,57.7,82.4,11.41
33,lorengau,76,PG,1516866921,100,-2.02,147.27,80.53,14.03
34,vao,92,EE,1516866996,97,59.1,26.19,39.58,19.62
35,pandan niog,0,PH,1516867498,100,6.23,120.56,82.73,6.98
36,amahai,80,ID,1516867499,100,-3.31,129.0,85.21,1.61
37,ossora,76,RU,1516867500,97,59.24,163.07,28.1,6.87
38,shitanjing,0,CN,1516867500,35,39.23,106.34,21.35,3.4
39,san patricio,44,PY,1516867061,94,-26.98,-56.83,70.67,3.74
40,ulaangom,12,MN,1516867501,65,49.98,92.07,-18.57,3.18
41,torbay,90,CA,1516863600,93,47.66,-52.73,35.6,20.8
42,cape town,20,ZA,1516863600,56,-33.93,18.42,71.6,16.11
43,borogontsy,68,RU,1516867000,62,62.67,131.17,-33.96,2.73
44,dali,0,CN,1516867504,44,25.6,100.24,59.15,7.65
45,saldanha,92,PT,1516867050,99,41.42,-6.55,41.65,8.88
46,georgetown,20,GY,1516863600,94,6.8,-58.16,73.4,4.7
47,airai,64,TL,1516867505,70,-8.93,125.41,79.54,1.39
48,tuktoyaktuk,68,CA,1516863600,96,69.44,-133.03,-7.61,10.29
49,longyearbyen,75,NO,1516866600,68,78.22,15.63,24.8,12.75
50,kavieng,88,PG,1516867002,100,-2.57,150.8,79.85,12.68
51,hermanus,24,ZA,1516867506,62,-34.42,19.24,69.41,5.75
52,pangnirtung,32,CA,1516867032,74,66.15,-65.72,-17.22,4.74
53,balkhash,0,KZ,1516867508,100,46.84,74.98,-9.97,13.69
54,vaini,0,IN,1516867509,34,15.34,74.49,86.74,1.61
55,rikitea,48,PF,1516867510,99,-23.12,-134.97,80.03,16.15
56,ponta do sol,92,BR,1516866964,99,-20.63,-46.0,64.73,1.72
57,phultala,0,BD,1516867511,58,22.7,89.52,78.5,6.53
58,tasiilaq,12,GL,1516867039,100,65.61,-37.64,15.19,20.51
59,faanui,20,PF,1516867056,100,-16.48,-151.75,80.98,10.22
60,barra do garcas,44,BR,1516867512,92,-15.89,-52.26,70.4,4.07
61,adrar,0,DZ,1516863600,39,27.87,-0.29,50.0,12.75
62,zabol,0,IR,1516863600,25,31.03,61.49,62.6,11.41
63,mataura,80,NZ,1516867515,72,-46.19,168.86,62.44,6.2
64,yar-sale,64,RU,1516867087,80,66.83,70.83,-0.52,20.74
65,nikolskoye,90,RU,1516865400,98,59.7,30.79,32.0,15.66
66,carnarvon,0,ZA,1516866941,45,-30.97,22.13,75.53,6.2
67,mar del plata,0,AR,1516867488,100,-46.43,-67.52,46.37,0.38
68,saskylakh,80,RU,1516867519,83,71.97,114.09,3.53,15.26
69,fairbanks,90,US,1516863480,74,64.84,-147.72,-22.01,4.29
70,pacific grove,90,US,1516865700,99,36.62,-121.92,51.8,4.7
71,carmo do rio claro,44,BR,1516867461,100,-20.97,-46.12,65.36,3.29
72,marzuq,0,YE,1516867521,12,14.4,46.47,78.73,2.73
73,lebu,0,ET,1516866989,28,8.96,38.73,71.3,4.07
74,mount gambier,0,AU,1516867523,56,-37.83,140.78,75.58,5.3
75,barra da estiva,64,BR,1516867523,93,-13.63,-41.33,67.07,3.74
76,ucluelet,92,CA,1516867200,100,48.94,-125.55,33.91,2.06
77,atbasar,0,KZ,1516867524,67,51.81,68.36,-14.65,9.55
78,rorvik,20,NO,1516864800,93,64.86,11.24,37.4,5.82
79,isangel,76,VU,1516867020,100,-19.55,169.27,79.63,14.03
80,vila franca do campo,75,PT,1516865400,76,37.72,-25.43,53.6,4.7
81,souillac,92,FR,1516867200,93,45.6,-0.6,50.0,6.93
82,hasaki,20,JP,1516865400,27,35.73,140.83,35.6,11.41
83,tuatapere,92,NZ,1516867528,100,-46.13,167.69,57.98,7.76
84,pevek,76,RU,1516867528,92,69.7,170.27,-7.05,5.64
85,healdsburg,90,US,1516865880,100,38.61,-122.87,48.2,7.65
86,gilgit,76,PK,1516867529,84,35.92,74.31,16.67,0.16
87,toppenish,20,US,1516863180,93,46.38,-120.31,37.4,5.82
88,kaitangata,100,NZ,1516866937,100,-46.28,169.85,58.43,7.54
89,tiarei,20,PF,1516865400,69,-17.53,-149.33,82.4,5.82
90,istok,0,PL,1516865400,80,52.66,23.48,35.6,8.95
91,norman wells,90,CA,1516863600,70,65.28,-126.83,-5.81,3.36
92,ajaigarh,0,IN,1516867532,65,24.9,80.27,69.95,8.43
93,sitka,0,US,1516866853,33,37.17,-99.65,35.48,11.12
94,provideniya,48,RU,1516867534,100,64.42,-173.23,12.98,16.49
95,chokurdakh,76,RU,1516867535,63,70.62,147.9,-20.91,5.3
96,kununurra,68,AU,1516863960,79,-15.77,128.74,84.2,8.05
97,dalvik,75,SE,1516864800,93,57.79,14.13,39.2,17.22
98,puerto ayora,48,EC,1516867537,100,-0.74,-90.35,73.96,6.98
99,victoria,75,BN,1516863600,74,5.28,115.24,87.8,4.7
100,pringsewu,92,ID,1516867538,62,-5.36,104.98,83.72,4.74
101,ketchikan,1,US,1516863360,92,55.34,-131.65,37.4,7.2
102,pisco,0,PE,1516863600,78,-13.71,-76.2,71.6,8.05
103,port hardy,90,CA,1516863600,86,50.7,-127.42,37.4,4.7
104,santiago atitlan,20,GT,1516867541,64,14.64,-91.23,61.36,3.74
105,bystrzyca klodzka,88,PL,1516867541,90,50.3,16.64,35.12,7.2
106,bani walid,0,LY,1516867543,61,31.76,14.0,52.9,4.52
107,maromitsa,64,RU,1516867543,71,59.87,48.01,13.25,7.87
108,gafanha da encarnacao,75,PT,1516865400,100,40.62,-8.73,51.8,3.36
109,college,90,US,1516863480,74,64.86,-147.8,-22.01,4.29
110,necochea,0,AR,1516867004,100,-38.55,-58.74,45.02,1.72
111,luang prabang,0,LA,1516863600,51,19.89,102.14,86.0,2.24
112,tommot,36,RU,1516867156,48,58.97,126.27,-30.45,2.62
113,guane,56,CU,1516867547,91,22.2,-84.09,70.4,8.88
114,alice springs,40,AU,1516864860,13,-23.7,133.88,104.0,17.22
115,san quintin,75,PH,1516863600,66,17.54,120.52,87.8,6.93
116,knysna,40,ZA,1516863600,72,-34.04,23.05,68.0,5.82
117,lavrentiya,56,RU,1516866982,100,65.58,-170.99,1.73,11.23
118,hilo,90,US,1516865040,83,19.71,-155.08,69.8,6.93
